mission_id,agency,mission_type,launch_date,cost_million_usd,payload_type,destination,status
1204,Virgin Galactic,Asteroid Mining,2003-11-11,1614,Crewed,Low Earth Orbit,Failure
1205,Roscosmos,Mars,1997-06-14,3011,Rover,Moon,Failure
1206,CNSA,Mars,2012-04-14,3678,Satellite,Asteroid Belt,Failure
1207,SpaceX,Space Tourism,1988-01-18,239,Rover,Low Earth Orbit,Success
1208,CNSA,Satellite Deployment,1991-07-04,4153,Satellite,Moon,Partial Success
1209,SpaceX,Mars,1960-03-19,4258,Space Telescope,Low Earth Orbit,Partial Success
1210,Blue Origin,Lunar,1997-12-09,3360,Rover,Low Earth Orbit,Partial Success
1211,Roscosmos,Orbital,2016-02-08,4857,Satellite,Asteroid Belt,Partial Success
1212,Blue Origin,Lunar,1976-11-15,2235,Rover,Mars,Partial Success
1213,Virgin Galactic,Lunar,2007-05-03,1302,Satellite,Deep Space,Success
1214,Virgin Galactic,Asteroid Mining,2008-03-20,1742,Crewed,Moon,Success
1215,SpaceX,Lunar,1961-01-12,166,Crewed,Moon,Partial Success
1216,Virgin Galactic,Satellite Deployment,1999-03-08,2778,Scientific Probe,Asteroid Belt,Partial Success
1217,CNSA,Mars,1995-04-21,190,Cargo,Asteroid Belt,Success
1218,Blue Origin,Lunar,2008-04-23,1714,Crewed,Low Earth Orbit,Success
1219,CNSA,Asteroid Mining,2004-03-07,2300,Cargo,Moon,Failure
1220,SpaceX,Mars,1963-04-09,3046,Cargo,Deep Space,Success
1221,ISRO,Satellite Deployment,2011-07-25,4119,Cargo,Moon,Failure
1222,ISRO,Satellite Deployment,1987-07-15,3929,Crewed,Mars,Failure
1223,CNSA,Orbital,1973-03-27,4574,Cargo,Moon,Success
1224,NASA,Deep Space,1989-02-17,3701,Satellite,Asteroid Belt,Success
1225,ISRO,Orbital,2022-01-23,2380,Space Telescope,Mars,Partial Success
1226,CNSA,Orbital,2022-10-01,2598,Rover,Asteroid Belt,Partial Success
1227,Blue Origin,Asteroid Mining,2013-12-25,2668,Crewed,Asteroid Belt,Failure
1228,NASA,Space Tourism,1965-12-02,309,Space Telescope,Low Earth Orbit,Failure
1229,SpaceX,Space Tourism,2009-08-27,2760,Cargo,Asteroid Belt,Success
1230,Virgin Galactic,Mars,1961-01-12,2514,Space Telescope,Low Earth Orbit,Success
1231,ESA,Lunar,1971-09-07,3620,Cargo,Moon,Partial Success
1232,CNSA,Mars,1959-06-06,733,Satellite,Asteroid Belt,Success
1233,Blue Origin,Mars,2017-04-12,1477,Satellite,Mars,Failure
1234,NASA,Asteroid Mining,2021-02-26,3155,Cargo,Low Earth Orbit,Success
1235,NASA,Lunar,1959-10-19,4688,Rover,Deep Space,Success
1236,SpaceX,Asteroid Mining,2022-07-14,3036,Space Telescope,Asteroid Belt,Success
1237,SpaceX,Lunar,1970-05-09,3344,Satellite,Low Earth Orbit,Partial Success
1238,NASA,Orbital,2017-05-04,2771,Rover,Moon,Failure
1239,ESA,Deep Space,2010-05-02,2996,Satellite,Low Earth Orbit,Failure
1240,CNSA,Asteroid Mining,1994-12-04,4801,Space Telescope,Low Earth Orbit,Partial Success
1241,ISRO,Space Tourism,1994-11-16,3884,Crewed,Mars,Success
1242,CNSA,Mars,2000-07-21,2514,Cargo,Moon,Failure
1243,Blue Origin,Deep Space,1957-06-24,2798,Satellite,Mars,Failure
1244,Roscosmos,Orbital,2015-02-13,1060,Space Telescope,Moon,Success
1245,NASA,Asteroid Mining,2015-10-26,2156,Crewed,Low Earth Orbit,Failure
1246,ESA,Orbital,2002-08-08,1124,Cargo,Asteroid Belt,Failure
1247,NASA,Space Tourism,2003-11-11,2965,Rover,Deep Space,Success
1248,SpaceX,Satellite Deployment,2003-06-22,1182,Space Telescope,Asteroid Belt,Failure
1249,Virgin Galactic,Mars,1994-10-13,2438,Scientific Probe,Mars,Partial Success
1250,Roscosmos,Asteroid Mining,1992-12-11,4947,Rover,Deep Space,Success
1251,NASA,Deep Space,2020-04-21,2306,Crewed,Deep Space,Partial Success
1252,NASA,Deep Space,1961-04-18,3902,Satellite,Asteroid Belt,Partial Success
1253,Roscosmos,Mars,2014-03-16,2139,Space Telescope,Deep Space,Success
1254,Roscosmos,Lunar,2021-09-23,321,Cargo,Deep Space,Success
1255,SpaceX,Satellite Deployment,1983-06-16,4509,Cargo,Deep Space,Success
1256,ESA,Satellite Deployment,2012-10-06,3474,Rover,Low Earth Orbit,Partial Success
1257,ESA,Orbital,1957-10-09,2153,Satellite,Low Earth Orbit,Success
1258,Blue Origin,Asteroid Mining,1977-09-26,3660,Cargo,Low Earth Orbit,Failure
1259,CNSA,Satellite Deployment,1975-11-14,2615,Rover,Moon,Success
1260,Blue Origin,Asteroid Mining,2011-03-25,759,Satellite,Mars,Success
1261,ISRO,Satellite Deployment,2006-01-27,2207,Satellite,Mars,Failure
1262,NASA,Orbital,1981-03-28,1797,Crewed,Mars,Partial Success
1263,SpaceX,Deep Space,2012-02-11,1160,Rover,Deep Space,Failure
1264,CNSA,Deep Space,2008-01-04,976,Crewed,Low Earth Orbit,Failure
1265,ESA,Space Tourism,1973-09-14,1387,Space Telescope,Mars,Partial Success
1266,ESA,Mars,2019-01-11,4323,Crewed,Asteroid Belt,Failure
1267,ESA,Mars,1964-02-14,836,Satellite,Moon,Partial Success
1268,NASA,Lunar,1957-08-02,3041,Space Telescope,Asteroid Belt,Failure
1269,ESA,Asteroid Mining,2008-05-01,2524,Crewed,Asteroid Belt,Success
1270,Blue Origin,Orbital,2023-01-05,609,Space Telescope,Moon,Failure
1271,SpaceX,Space Tourism,1983-03-28,157,Satellite,Low Earth Orbit,Failure
1272,CNSA,Asteroid Mining,1970-06-07,3850,Satellite,Moon,Partial Success
1273,CNSA,Lunar,1960-02-01,513,Scientific Probe,Deep Space,Success
1274,Virgin Galactic,Lunar,2018-08-17,705,Space Telescope,Low Earth Orbit,Failure
1275,ISRO,Deep Space,2010-05-16,3816,Cargo,Deep Space,Failure
1276,NASA,Lunar,1977-11-25,1503,Satellite,Asteroid Belt,Success
1277,CNSA,Orbital,1971-08-12,2795,Scientific Probe,Deep Space,Failure
1278,SpaceX,Mars,1980-04-09,766,Rover,Mars,Partial Success
1279,NASA,Deep Space,2013-04-20,3274,Space Telescope,Deep Space,Success
1280,Virgin Galactic,Space Tourism,2010-12-14,4717,Cargo,Low Earth Orbit,Failure
1281,NASA,Satellite Deployment,1973-02-21,1980,Rover,Low Earth Orbit,Failure
1282,SpaceX,Asteroid Mining,1996-03-25,1798,Rover,Moon,Partial Success
1283,CNSA,Asteroid Mining,2006-02-05,3061,Crewed,Moon,Failure
1284,ISRO,Space Tourism,2009-10-20,825,Satellite,Moon,Partial Success
1285,ISRO,Deep Space,1969-06-13,2189,Scientific Probe,Deep Space,Partial Success
1286,NASA,Deep Space,1981-10-17,3122,Rover,Deep Space,Failure
1287,Virgin Galactic,Orbital,2011-02-26,295,Crewed,Deep Space,Failure
1288,NASA,Space Tourism,1978-05-12,1764,Satellite,Deep Space,Partial Success
1289,SpaceX,Lunar,1974-10-04,3927,Cargo,Deep Space,Partial Success
1290,Blue Origin,Deep Space,1994-02-14,3111,Space Telescope,Low Earth Orbit,Failure
1291,ISRO,Asteroid Mining,2003-10-04,1930,Cargo,Moon,Partial Success
1292,SpaceX,Mars,2007-05-09,1364,Cargo,Mars,Success
1293,CNSA,Lunar,1988-03-03,152,Crewed,Deep Space,Success
1294,SpaceX,Asteroid Mining,1969-07-26,2391,Cargo,Moon,Partial Success
1295,ESA,Lunar,2003-12-27,4573,Crewed,Low Earth Orbit,Failure
1296,Roscosmos,Satellite Deployment,2024-06-15,1602,Space Telescope,Mars,Failure
1297,Blue Origin,Space Tourism,1994-08-26,3829,Space Telescope,Deep Space,Failure
1298,ESA,Deep Space,2022-07-03,2833,Satellite,Mars,Partial Success
1299,CNSA,Mars,2014-08-23,3728,Space Telescope,Low Earth Orbit,Failure
1300,Blue Origin,Mars,1991-11-28,3869,Cargo,Asteroid Belt,Success
1301,Roscosmos,Space Tourism,1997-03-14,3820,Satellite,Moon,Success
1302,NASA,Satellite Deployment,1970-02-15,4534,Scientific Probe,Moon,Partial Success
1303,NASA,Deep Space,2023-11-22,4036,Crewed,Mars,Partial Success
1304,Roscosmos,Asteroid Mining,2018-04-19,4050,Cargo,Deep Space,Success
1305,SpaceX,Space Tourism,1965-09-24,2322,Satellite,Deep Space,Partial Success
1306,NASA,Orbital,1960-07-12,4097,Rover,Low Earth Orbit,Failure
1307,Roscosmos,Lunar,1961-10-10,1390,Scientific Probe,Moon,Failure
1308,Blue Origin,Space Tourism,1964-07-28,3881,Rover,Low Earth Orbit,Failure
1309,NASA,Orbital,1981-02-23,4979,Rover,Asteroid Belt,Failure
1310,Roscosmos,Orbital,2005-06-25,3660,Cargo,Deep Space,Failure
1311,ESA,Orbital,1989-08-03,370,Satellite,Low Earth Orbit,Success
1312,CNSA,Mars,1997-10-11,4223,Crewed,Moon,Partial Success
1313,Roscosmos,Lunar,1981-09-18,1584,Satellite,Mars,Failure
1314,Roscosmos,Mars,2022-10-15,1407,Crewed,Deep Space,Failure
1315,Blue Origin,Orbital,2000-12-19,1791,Scientific Probe,Asteroid Belt,Success
1316,ISRO,Lunar,2004-06-23,3538,Space Telescope,Mars,Success
1317,ISRO,Mars,1978-07-25,2657,Space Telescope,Deep Space,Failure
1318,NASA,Orbital,2004-05-27,1696,Scientific Probe,Mars,Failure
1319,Blue Origin,Mars,2007-08-20,2893,Satellite,Asteroid Belt,Success
1320,Roscosmos,Satellite Deployment,1990-09-11,1473,Scientific Probe,Asteroid Belt,Success
1321,Roscosmos,Deep Space,2023-01-03,470,Scientific Probe,Mars,Failure
1322,CNSA,Satellite Deployment,1987-08-16,4983,Crewed,Mars,Success
1323,ISRO,Mars,1962-05-11,3306,Scientific Probe,Deep Space,Success
1324,ESA,Mars,2023-05-08,310,Crewed,Asteroid Belt,Failure
1325,Virgin Galactic,Asteroid Mining,1970-03-21,659,Cargo,Asteroid Belt,Success
1326,CNSA,Orbital,1977-10-17,2440,Rover,Asteroid Belt,Success
1327,CNSA,Deep Space,1973-04-09,2683,Rover,Low Earth Orbit,Failure
1328,Blue Origin,Satellite Deployment,1984-01-12,2282,Crewed,Mars,Failure
1329,NASA,Satellite Deployment,1972-02-27,3635,Satellite,Asteroid Belt,Success
1330,Roscosmos,Deep Space,2007-07-28,4972,Crewed,Asteroid Belt,Success
1331,ESA,Asteroid Mining,1963-11-19,3678,Rover,Asteroid Belt,Success
1332,NASA,Satellite Deployment,1980-07-11,111,Crewed,Deep Space,Success
1333,SpaceX,Lunar,1988-01-14,724,Satellite,Asteroid Belt,Failure
1334,Blue Origin,Mars,1968-04-09,2524,Cargo,Moon,Partial Success
1335,CNSA,Satellite Deployment,1975-07-05,886,Cargo,Low Earth Orbit,Success
1336,Roscosmos,Orbital,1976-06-09,152,Satellite,Asteroid Belt,Partial Success
1337,Roscosmos,Mars,1989-10-16,621,Satellite,Moon,Success
1338,NASA,Orbital,1981-05-25,802,Satellite,Moon,Partial Success
1339,NASA,Deep Space,1981-03-09,3481,Satellite,Deep Space,Partial Success
1340,SpaceX,Mars,2013-02-01,2192,Cargo,Moon,Partial Success
1341,Roscosmos,Deep Space,2015-08-09,1839,Rover,Moon,Success
1342,ISRO,Space Tourism,2024-10-17,1372,Crewed,Moon,Partial Success
1343,NASA,Satellite Deployment,2001-08-14,951,Satellite,Moon,Failure
1344,Virgin Galactic,Mars,1989-04-26,1654,Scientific Probe,Mars,Success
1345,Blue Origin,Satellite Deployment,2006-06-11,2200,Cargo,Moon,Failure
1346,Blue Origin,Space Tourism,2000-09-01,3772,Rover,Deep Space,Partial Success
1347,Virgin Galactic,Satellite Deployment,1983-05-15,3351,Scientific Probe,Deep Space,Partial Success
1348,Blue Origin,Space Tourism,2019-02-10,314,Scientific Probe,Moon,Success
1349,Roscosmos,Orbital,2024-07-19,151,Space Telescope,Deep Space,Failure
1350,CNSA,Deep Space,2017-05-19,2956,Space Telescope,Low Earth Orbit,Partial Success
1351,SpaceX,Lunar,1989-02-15,4313,Cargo,Moon,Success
1352,Virgin Galactic,Asteroid Mining,2003-06-20,4372,Space Telescope,Mars,Failure
1353,CNSA,Mars,1967-07-16,2416,Rover,Mars,Partial Success
1354,ISRO,Lunar,2023-04-23,4643,Crewed,Mars,Success
1355,ESA,Deep Space,1999-06-27,4505,Rover,Mars,Success
1356,NASA,Orbital,1982-02-13,1258,Space Telescope,Mars,Partial Success
1357,ISRO,Orbital,2016-02-27,2488,Satellite,Mars,Failure
1358,ESA,Lunar,1992-05-09,4157,Space Telescope,Mars,Failure
1359,CNSA,Orbital,1992-05-27,3761,Cargo,Asteroid Belt,Failure
1360,ESA,Lunar,2019-08-24,2838,Rover,Mars,Partial Success
1361,Blue Origin,Space Tourism,1985-01-08,3620,Space Telescope,Deep Space,Partial Success
1362,NASA,Deep Space,1973-04-20,2516,Crewed,Deep Space,Partial Success
1363,Roscosmos,Mars,2015-09-24,1911,Satellite,Asteroid Belt,Partial Success
1364,Virgin Galactic,Orbital,2019-12-25,1728,Scientific Probe,Low Earth Orbit,Success
1365,NASA,Orbital,1981-03-19,2234,Space Telescope,Moon,Failure
1366,SpaceX,Deep Space,2022-11-18,234,Scientific Probe,Mars,Success
1367,Virgin Galactic,Mars,2003-06-06,1573,Space Telescope,Asteroid Belt,Success
1368,SpaceX,Asteroid Mining,1980-05-07,1762,Space Telescope,Asteroid Belt,Failure
1369,Roscosmos,Space Tourism,2004-04-28,2932,Space Telescope,Moon,Success
1370,Virgin Galactic,Asteroid Mining,2011-03-14,1616,Satellite,Mars,Success
1371,Blue Origin,Asteroid Mining,2011-11-13,3993,Satellite,Mars,Success
1372,CNSA,Deep Space,1968-02-16,2014,Satellite,Deep Space,Failure
1373,ISRO,Asteroid Mining,2017-06-09,936,Satellite,Low Earth Orbit,Failure
1374,Roscosmos,Lunar,1973-05-11,1079,Cargo,Asteroid Belt,Failure
1375,Blue Origin,Space Tourism,1981-11-20,3446,Scientific Probe,Moon,Partial Success
1376,ISRO,Asteroid Mining,2018-01-21,4344,Satellite,Mars,Failure
1377,Blue Origin,Orbital,2003-05-20,2896,Scientific Probe,Asteroid Belt,Partial Success
1378,NASA,Asteroid Mining,1964-08-17,1886,Crewed,Asteroid Belt,Partial Success
1379,Blue Origin,Lunar,1988-08-11,4114,Space Telescope,Deep Space,Failure
1380,ISRO,Lunar,2002-04-24,3752,Cargo,Asteroid Belt,Partial Success
1381,NASA,Orbital,1977-08-15,1903,Crewed,Low Earth Orbit,Failure
1382,ESA,Lunar,1981-07-09,930,Rover,Deep Space,Partial Success
1383,CNSA,Lunar,2013-12-13,1583,Cargo,Mars,Failure
1384,Blue Origin,Asteroid Mining,1984-01-04,2139,Cargo,Mars,Failure
1385,Roscosmos,Deep Space,2004-04-27,3037,Space Telescope,Moon,Partial Success
1386,CNSA,Space Tourism,2017-09-14,269,Satellite,Deep Space,Failure
1387,CNSA,Mars,1982-10-16,524,Scientific Probe,Mars,Success
1388,SpaceX,Lunar,1970-12-22,4159,Cargo,Deep Space,Failure
1389,NASA,Mars,1964-12-12,4777,Space Telescope,Low Earth Orbit,Success
1390,CNSA,Asteroid Mining,1993-01-11,4212,Rover,Asteroid Belt,Success
1391,NASA,Satellite Deployment,1990-03-02,2659,Rover,Asteroid Belt,Success
1392,ESA,Lunar,2000-11-10,2631,Satellite,Mars,Failure
1393,Blue Origin,Mars,1985-05-28,105,Space Telescope,Moon,Failure
1394,Virgin Galactic,Asteroid Mining,2023-10-04,2434,Satellite,Low Earth Orbit,Success
1395,Blue Origin,Asteroid Mining,1984-07-17,2531,Cargo,Moon,Partial Success
1396,Virgin Galactic,Asteroid Mining,1973-05-19,2333,Cargo,Asteroid Belt,Failure
1397,CNSA,Orbital,1971-10-07,1961,Scientific Probe,Low Earth Orbit,Partial Success
1398,CNSA,Lunar,1999-09-07,3422,Cargo,Asteroid Belt,Failure
1399,ISRO,Space Tourism,1981-07-05,2099,Rover,Deep Space,Partial Success
1400,Roscosmos,Orbital,1990-01-17,1965,Cargo,Asteroid Belt,Partial Success
1401,SpaceX,Lunar,2010-12-07,3117,Cargo,Low Earth Orbit,Success
1402,Virgin Galactic,Mars,1996-10-18,3052,Space Telescope,Mars,Failure
1403,Roscosmos,Satellite Deployment,2014-09-18,2315,Crewed,Low Earth Orbit,Partial Success
1404,ISRO,Deep Space,1973-12-08,2282,Satellite,Asteroid Belt,Failure
1405,SpaceX,Deep Space,1964-08-13,3021,Satellite,Deep Space,Failure
1406,SpaceX,Space Tourism,1960-10-25,1746,Cargo,Deep Space,Success
1407,NASA,Asteroid Mining,1983-12-11,1769,Space Telescope,Mars,Success
1408,ISRO,Orbital,1991-08-04,1217,Satellite,Asteroid Belt,Failure
1409,SpaceX,Lunar,1997-09-16,3385,Cargo,Asteroid Belt,Failure
1410,CNSA,Space Tourism,2002-10-05,551,Cargo,Moon,Failure
1411,CNSA,Orbital,1963-02-07,3047,Rover,Deep Space,Success
1412,ESA,Deep Space,1971-10-27,148,Rover,Deep Space,Failure
1413,ESA,Orbital,2000-01-03,2833,Crewed,Asteroid Belt,Partial Success
1414,SpaceX,Orbital,2013-11-11,1078,Scientific Probe,Low Earth Orbit,Partial Success
1415,ESA,Mars,1958-12-21,1942,Satellite,Mars,Partial Success
1416,SpaceX,Deep Space,2023-07-26,1608,Rover,Moon,Success
1417,Blue Origin,Space Tourism,1977-09-09,3765,Space Telescope,Asteroid Belt,Failure
1418,NASA,Deep Space,1998-09-21,1779,Cargo,Low Earth Orbit,Success
1419,ESA,Satellite Deployment,2004-06-19,2720,Satellite,Low Earth Orbit,Partial Success
1420,CNSA,Lunar,1975-03-08,1796,Crewed,Asteroid Belt,Failure
1421,NASA,Space Tourism,1970-05-24,2849,Scientific Probe,Moon,Success
1422,CNSA,Orbital,2006-03-13,3067,Crewed,Deep Space,Failure
1423,ESA,Deep Space,2014-12-01,4415,Cargo,Mars,Partial Success
1424,Virgin Galactic,Orbital,1977-06-24,4871,Space Telescope,Mars,Partial Success
1425,NASA,Orbital,1987-04-05,541,Space Telescope,Low Earth Orbit,Success
1426,ESA,Orbital,1980-10-10,1627,Crewed,Deep Space,Partial Success
1427,SpaceX,Space Tourism,2016-07-25,3299,Space Telescope,Moon,Partial Success
1428,SpaceX,Space Tourism,2007-11-01,300,Crewed,Mars,Failure
1429,Roscosmos,Lunar,1985-03-22,2348,Cargo,Deep Space,Failure
1430,ESA,Satellite Deployment,1963-01-08,4159,Space Telescope,Deep Space,Partial Success
1431,Blue Origin,Asteroid Mining,1963-07-26,3716,Cargo,Deep Space,Failure
1432,Roscosmos,Satellite Deployment,1985-01-22,1583,Cargo,Low Earth Orbit,Partial Success
1433,Blue Origin,Mars,1987-01-13,472,Space Telescope,Asteroid Belt,Failure
1434,CNSA,Deep Space,1960-09-04,3722,Crewed,Deep Space,Failure
1435,Virgin Galactic,Deep Space,2014-02-05,4862,Space Telescope,Deep Space,Success
1436,ISRO,Orbital,1968-07-20,1834,Crewed,Mars,Failure
1437,ESA,Mars,1965-12-08,2427,Crewed,Low Earth Orbit,Success
1438,Virgin Galactic,Deep Space,2018-02-07,3054,Space Telescope,Deep Space,Partial Success
1439,ISRO,Orbital,2000-09-17,482,Space Telescope,Mars,Partial Success
1440,ISRO,Space Tourism,2010-07-22,1764,Space Telescope,Deep Space,Success
1441,Roscosmos,Asteroid Mining,1976-06-16,3866,Scientific Probe,Low Earth Orbit,Success
1442,ESA,Deep Space,2019-07-19,250,Scientific Probe,Asteroid Belt,Partial Success
1443,ISRO,Lunar,1969-11-12,613,Satellite,Asteroid Belt,Success
1444,ISRO,Mars,1992-07-18,1459,Crewed,Asteroid Belt,Partial Success
1445,ESA,Deep Space,1960-06-25,3665,Rover,Moon,Failure
1446,Roscosmos,Lunar,1969-05-26,3880,Crewed,Mars,Success
1447,ESA,Orbital,2000-04-25,1894,Space Telescope,Low Earth Orbit,Partial Success
1448,NASA,Space Tourism,1998-10-03,1737,Scientific Probe,Deep Space,Failure
1449,ESA,Mars,1993-12-08,2218,Cargo,Moon,Partial Success
1450,NASA,Asteroid Mining,2021-04-21,426,Space Telescope,Moon,Partial Success
1451,NASA,Space Tourism,1988-03-27,1632,Rover,Moon,Success
1452,Blue Origin,Mars,1965-08-18,3051,Scientific Probe,Moon,Success
1453,Virgin Galactic,Deep Space,1970-11-24,3723,Scientific Probe,Moon,Failure
1454,ISRO,Satellite Deployment,2017-11-12,3266,Rover,Asteroid Belt,Success
1455,ISRO,Mars,1988-08-24,1524,Satellite,Asteroid Belt,Failure
1456,ISRO,Satellite Deployment,2022-11-28,3846,Space Telescope,Deep Space,Success
1457,ESA,Asteroid Mining,2021-07-14,3645,Scientific Probe,Deep Space,Success
1458,NASA,Deep Space,1962-12-07,1445,Crewed,Deep Space,Success
1459,CNSA,Orbital,2019-06-25,4894,Satellite,Asteroid Belt,Success
1460,NASA,Satellite Deployment,1957-08-13,3624,Cargo,Deep Space,Failure
1461,ESA,Lunar,2009-10-13,3432,Crewed,Deep Space,Success
1462,ESA,Lunar,1985-07-06,2409,Space Telescope,Mars,Failure
1463,Virgin Galactic,Asteroid Mining,2021-01-24,305,Space Telescope,Deep Space,Success
1464,SpaceX,Lunar,1979-06-27,1857,Cargo,Low Earth Orbit,Success
1465,Roscosmos,Space Tourism,1995-10-25,1378,Scientific Probe,Deep Space,Success
1466,Virgin Galactic,Mars,1964-06-17,2364,Rover,Asteroid Belt,Success
1467,SpaceX,Space Tourism,2004-09-06,4271,Satellite,Moon,Partial Success
1468,Blue Origin,Asteroid Mining,1981-05-18,2687,Space Telescope,Low Earth Orbit,Success
1469,ESA,Satellite Deployment,1988-06-16,1670,Scientific Probe,Moon,Failure
1470,SpaceX,Lunar,1993-07-03,3596,Crewed,Asteroid Belt,Success
1471,SpaceX,Space Tourism,2009-12-06,2743,Space Telescope,Asteroid Belt,Partial Success
1472,SpaceX,Orbital,2008-10-21,2550,Crewed,Moon,Partial Success
1473,NASA,Orbital,1997-03-27,4967,Space Telescope,Deep Space,Failure
1474,ESA,Mars,1964-08-19,1130,Space Telescope,Low Earth Orbit,Success
1475,ISRO,Lunar,2005-10-20,725,Cargo,Moon,Failure
1476,NASA,Satellite Deployment,1965-06-15,3147,Satellite,Low Earth Orbit,Failure
1477,CNSA,Mars,1990-03-18,2667,Rover,Deep Space,Failure
1478,SpaceX,Satellite Deployment,1995-09-22,2458,Scientific Probe,Mars,Failure
1479,Virgin Galactic,Deep Space,1958-08-27,1607,Space Telescope,Asteroid Belt,Failure
1480,NASA,Mars,1984-08-18,2089,Scientific Probe,Deep Space,Success
1481,ESA,Mars,2000-07-13,417,Rover,Moon,Partial Success
1482,Roscosmos,Satellite Deployment,2014-07-16,111,Scientific Probe,Moon,Success
1483,Roscosmos,Mars,1982-12-24,2873,Satellite,Asteroid Belt,Failure
1484,Blue Origin,Lunar,1991-08-16,830,Cargo,Asteroid Belt,Success
1485,ESA,Orbital,2018-04-12,2814,Crewed,Deep Space,Failure
1486,Virgin Galactic,Space Tourism,1972-08-10,4059,Rover,Moon,Partial Success
1487,Blue Origin,Orbital,1987-10-01,4947,Crewed,Asteroid Belt,Partial Success
1488,Roscosmos,Asteroid Mining,1978-11-24,2821,Crewed,Low Earth Orbit,Success
1489,Roscosmos,Asteroid Mining,1996-07-05,1255,Space Telescope,Deep Space,Success
1490,Virgin Galactic,Asteroid Mining,2021-08-28,994,Cargo,Mars,Partial Success
1491,ISRO,Satellite Deployment,2006-11-02,827,Rover,Asteroid Belt,Partial Success
1492,Virgin Galactic,Space Tourism,1970-06-10,3715,Scientific Probe,Asteroid Belt,Success
1493,Roscosmos,Asteroid Mining,1987-10-08,3409,Cargo,Deep Space,Failure
1494,Blue Origin,Lunar,1961-05-04,4334,Space Telescope,Low Earth Orbit,Success
1495,ESA,Satellite Deployment,1999-08-01,2565,Satellite,Low Earth Orbit,Failure
1496,Roscosmos,Satellite Deployment,1961-04-13,1032,Rover,Deep Space,Partial Success
1497,CNSA,Deep Space,1976-01-01,250,Satellite,Mars,Failure
1498,Virgin Galactic,Lunar,1997-07-13,2943,Scientific Probe,Asteroid Belt,Partial Success
1499,Blue Origin,Deep Space,1985-09-15,3229,Space Telescope,Low Earth Orbit,Success
1500,SpaceX,Orbital,1971-10-26,1548,Space Telescope,Moon,Success
1501,Virgin Galactic,Orbital,2009-10-25,2843,Rover,Asteroid Belt,Failure
1502,Virgin Galactic,Space Tourism,1987-05-13,4730,Scientific Probe,Moon,Success
1503,SpaceX,Lunar,1969-02-18,4187,Space Telescope,Moon,Partial Success
1504,Roscosmos,Asteroid Mining,2016-12-10,4012,Satellite,Asteroid Belt,Failure
1505,Blue Origin,Space Tourism,1981-12-23,2776,Space Telescope,Mars,Failure
1506,SpaceX,Lunar,1961-06-18,2083,Scientific Probe,Mars,Success
1507,Blue Origin,Lunar,1988-03-02,1046,Crewed,Deep Space,Failure
1508,ISRO,Satellite Deployment,1994-01-03,1281,Crewed,Moon,Failure
1509,ESA,Satellite Deployment,1991-10-27,2538,Rover,Mars,Partial Success
1510,CNSA,Space Tourism,1961-07-13,1482,Rover,Mars,Partial Success
1511,Blue Origin,Mars,1969-08-13,4757,Satellite,Deep Space,Success
1512,Blue Origin,Lunar,1992-07-08,265,Scientific Probe,Moon,Partial Success
1513,ESA,Mars,1996-10-10,2576,Space Telescope,Deep Space,Partial Success
1514,ISRO,Lunar,2012-01-11,4802,Crewed,Mars,Partial Success
1515,CNSA,Satellite Deployment,1978-09-07,2019,Crewed,Mars,Success
1516,Blue Origin,Satellite Deployment,1995-09-13,4005,Crewed,Deep Space,Failure
1517,Roscosmos,Lunar,2017-01-11,2426,Satellite,Moon,Failure
1518,NASA,Deep Space,1963-01-03,1275,Rover,Deep Space,Failure
1519,Roscosmos,Orbital,1968-09-26,1219,Satellite,Mars,Partial Success
1520,Virgin Galactic,Orbital,1976-09-25,4135,Satellite,Asteroid Belt,Failure
1521,CNSA,Mars,2004-12-22,2319,Scientific Probe,Moon,Partial Success
1522,Roscosmos,Mars,2007-12-20,611,Cargo,Deep Space,Success
1523,CNSA,Mars,2003-05-10,4104,Space Telescope,Mars,Success
1524,Blue Origin,Satellite Deployment,2012-11-22,3566,Rover,Moon,Partial Success
1525,NASA,Satellite Deployment,1960-11-19,2612,Satellite,Moon,Partial Success
1526,Roscosmos,Asteroid Mining,2014-02-07,172,Satellite,Low Earth Orbit,Partial Success
1527,Roscosmos,Lunar,2003-04-05,1016,Crewed,Low Earth Orbit,Failure
1528,CNSA,Satellite Deployment,2014-06-16,738,Crewed,Mars,Success
1529,NASA,Mars,1971-07-28,824,Rover,Moon,Failure
1530,Virgin Galactic,Satellite Deployment,2007-09-17,2040,Cargo,Deep Space,Failure
1531,CNSA,Mars,1966-01-09,2959,Space Telescope,Low Earth Orbit,Success
1532,ESA,Orbital,2015-03-17,839,Cargo,Mars,Partial Success
1533,ESA,Satellite Deployment,1979-09-15,1038,Satellite,Asteroid Belt,Partial Success
1534,NASA,Asteroid Mining,1965-09-17,685,Cargo,Low Earth Orbit,Success
1535,SpaceX,Deep Space,1996-06-18,1248,Cargo,Deep Space,Success
1536,ESA,Satellite Deployment,1966-12-05,2670,Crewed,Mars,Success
1537,NASA,Mars,2006-03-05,1104,Cargo,Asteroid Belt,Partial Success
1538,SpaceX,Deep Space,1967-07-04,1549,Scientific Probe,Moon,Failure
1539,SpaceX,Mars,1999-04-20,4457,Scientific Probe,Mars,Failure
1540,Virgin Galactic,Mars,2024-07-26,1638,Cargo,Deep Space,Success
1541,Blue Origin,Lunar,1995-05-03,678,Scientific Probe,Mars,Success
